Protected Heritage Area,Species Common Name,Activity Type,Total Animals 2010,Total Animals 2011,Total Animals 2012,Total Animals 2013,Total Animals 2014,Total Animals 2015,Total Animals 2016,Total Animals 2017,Total Animals 2018,Total Animals 2019,Total Animals 2020,Total Animals 2021
Jasper National Park of Canada,Common Loon,Driving,,,,,,,,,,,1,
Jasper National Park of Canada,Cougar,Driving,,2,,,,,1,1,,,,
Jasper National Park of Canada,Cougar,Railway,,,,,,2,,1,,,,
Jasper National Park of Canada,Coyote,Driving,11,13,4,3,10,6,2,3,6,8,3,2
Jasper National Park of Canada,Coyote,Railway,,,,,1,,,,,,1,
Jasper National Park of Canada,Crow,Driving,,,,,,,,,,1,,
Jasper National Park of Canada,Crow,Railway,,,,,,,1,,,1,,
Jasper National Park of Canada,Domestic Cat,Driving,,,,1,,,,,,1,,
Jasper National Park of Canada,Domestic Dog,Driving,,,,,,,,,,,,1
Jasper National Park of Canada,Elk,Driving,18,17,15,14,11,17,12,15,19,17,11,13
Jasper National Park of Canada,Elk,Railway,3,10,12,7,10,7,14,8,2,5,2,4
Jasper National Park of Canada,Golden Eagle,Railway,,,,,1,,,,,,,
Jasper National Park of Canada,Great Grey Owl,Driving,,,1,,1,2,,,,,,
Jasper National Park of Canada,Great Horned Owl,Driving,,,1,3,2,,1,1,2,1,,2
Jasper National Park of Canada,Great Horned Owl,Railway,,,,,,,1,,,,,
Jasper National Park of Canada,Grizzly Bear,Driving,,,,1,,,,,,,,1
Jasper National Park of Canada,Grizzly Bear,Railway,,,,,,,,,1,,,2
Jasper National Park of Canada,Hoary Marmot,Driving,,,,,,,,,,,,1
Jasper National Park of Canada,Little Brown Myotis,Driving,,,,,,,,,,,1,
Jasper National Park of Canada,Lynx,Driving,,1,,1,,,1,1,,2,,
Jasper National Park of Canada,Lynx,Railway,,,,1,,1,,,,,,
Jasper National Park of Canada,Mallard,Driving,,1,,,4,,1,,,,,
Jasper National Park of Canada,Marten,Driving,,,1,1,3,1,1,,,1,1,1
Jasper National Park of Canada,Merlin,Driving,,,,,,,,1,,1,,1
Jasper National Park of Canada,Moose,Driving,2,2,3,4,3,4,1,1,2,5,7,5
Jasper National Park of Canada,Moose,Railway,1,1,1,,,,,1,2,1,1,
Jasper National Park of Canada,Mule Deer,Driving,14,20,20,4,9,10,5,8,6,6,6,16
Jasper National Park of Canada,Mule Deer,Railway,3,3,5,1,3,4,1,3,4,2,2,3
Jasper National Park of Canada,Muskrat,Driving,,,,,1,,,,,,1,
Jasper National Park of Canada,Northern Flicker,Driving,,,,,,,,1,,,,
Jasper National Park of Canada,Northern Harrier,Driving,,,1,,,,,,,,,
Jasper National Park of Canada,Northern Saw-whet Owl,Driving,,,,,,,,,1,,,
Jasper National Park of Canada,Osprey,Driving,,,,,,,,,1,,,
Jasper National Park of Canada,Porcupine,Driving,,,,,,2,,1,,,,5
Jasper National Park of Canada,Raccoon,Railway,,1,,,,,,,,,,
Jasper National Park of Canada,Raven,Driving,,,,1,,,,,,1,,1
Jasper National Park of Canada,Red Fox,Driving,3,,2,2,6,2,1,2,1,2,1,3
Jasper National Park of Canada,Red Fox,Railway,,,,,,,2,,,,,
Jasper National Park of Canada,River Otter,Driving,,,,2,,1,1,,,1,,
Jasper National Park of Canada,Ruffed Grouse,Driving,,1,,,,,,,2,1,,1
Jasper National Park of Canada,Short-eared Owl,Driving,,,,1,,,,,,,,
Jasper National Park of Canada,Skunk,Driving,1,,,,5,1,2,,,1,,1
Jasper National Park of Canada,Snowshoe Hare,Driving,,,,1,,,,1,1,1,,1
Jasper National Park of Canada,Spruce Grouse,Driving,,,,,,,,,,,,1
Jasper National Park of Canada,Unknown bird,Driving,,,,,,,,,,1,1,
Jasper National Park of Canada,Unknown deer,Driving,,,,6,1,,1,,,,,1
Jasper National Park of Canada,Unknown deer,Railway,,,,,1,,,,1,,,
Jasper National Park of Canada,Unknown gull,Driving,,,,,,,,,,,1,
Jasper National Park of Canada,Unknown mustelid,Driving,,,,1,,,,,,,,
Jasper National Park of Canada,Unknown owl,Driving,,,,,,1,,,1,,,
Jasper National Park of Canada,Unknown ungulate,Driving,,,,,,1,,,,,,
Jasper National Park of Canada,White-tailed Deer,Driving,60,50,37,33,35,32,24,33,30,40,44,48
Jasper National Park of Canada,White-tailed Deer,Railway,2,3,3,,8,6,2,6,3,13,2,
Jasper National Park of Canada,Wolf,Driving,4,2,4,1,5,1,3,,,3,3,
Jasper National Park of Canada,Wolf,Railway,,,2,4,,,,,,,,
Jasper National Park of Canada,Wolverine,Driving,1,,,,,,,,,,,
Jasper National Park of Canada,Woodrat,Driving,,,,,,,,,,1,,
Kejimkujik National Park and National Historic Site of Canada,Porcupine,Driving,1,,,,,,,,,,,
Kejimkujik National Park and National Historic Site of Canada,Raccoon,Driving,,,,,,1,,,,,,
Kejimkujik National Park and National Historic Site of Canada,Unknown,Driving,,,,,,1,,,,,,
Kejimkujik National Park and National Historic Site of Canada,Western Painted Turtle,Driving,,,,,,1,,,,,,
Kejimkujik National Park and National Historic Site of Canada,White-tailed Deer,Driving,,,1,1,,,,1,,,,
Kootenay National Park of Canada,Bighorn Sheep,Driving,1,,2,1,2,1,4,3,1,1,1,
