Protected Heritage Area,Species Common Name,Activity Type,Total Animals 2010,Total Animals 2011,Total Animals 2012,Total Animals 2013,Total Animals 2014,Total Animals 2015,Total Animals 2016,Total Animals 2017,Total Animals 2018,Total Animals 2019,Total Animals 2020,Total Animals 2021
Prince Albert National Park of Canada,Marten,Driving,,,,1,,1,,,1,,,
Prince Albert National Park of Canada,Porcupine,Driving,,1,,,,,,,,,,
Prince Albert National Park of Canada,Red Fox,Driving,,1,1,,1,,,,,,,1
Prince Albert National Park of Canada,Red Squirrel,Driving,1,,,,,,,1,,,,
Prince Albert National Park of Canada,River Otter,Driving,,,,1,,,,,,,,
Prince Albert National Park of Canada,Sandhill Crane,Driving,,,1,,,,,,,,,
Prince Albert National Park of Canada,White-tailed Deer,Driving,9,9,4,5,4,1,2,7,,1,3,3
Prince Albert National Park of Canada,Woodchuck,Driving,,,,,,1,,,,,,
Prince Edward Island National Park of Canada,Beaver,Driving,,,,,,1,,1,,,,
Prince Edward Island National Park of Canada,Canada Goose,Driving,,,,,2,,1,1,,,1,
Prince Edward Island National Park of Canada,Crow,Driving,,,,,,2,1,,1,,1,1
Prince Edward Island National Park of Canada,Double-crested Cormorant,Driving,,1,,,,,,,,,,
Prince Edward Island National Park of Canada,Eastern Chipmunk,Driving,,,,,1,,,,,,,
Prince Edward Island National Park of Canada,Herring Gull,Driving,,1,,1,,,,,,,,
Prince Edward Island National Park of Canada,Mink,Driving,,,,,,,,1,1,,,
Prince Edward Island National Park of Canada,Raccoon,Driving,1,1,,,,2,2,2,1,,1,3
Prince Edward Island National Park of Canada,Red Fox,Driving,2,,,1,2,3,1,2,,,1,1
Prince Edward Island National Park of Canada,Ruffed Grouse,Driving,,,,,,1,,,1,,,
Prince Edward Island National Park of Canada,Semipalmated Plover,Driving,,,,,,,,,,,,1
Prince Edward Island National Park of Canada,Skunk,Driving,,,1,,,,,,1,,,
Prince Edward Island National Park of Canada,Snowshoe Hare,Driving,1,2,,,,2,2,2,1,,2,
Prince Edward Island National Park of Canada,Yellow Warbler,Driving,,,,,,,,,1,,,
Terra Nova National Park of Canada,Beaver,Driving,,,,,,,,,,,,1
Terra Nova National Park of Canada,Black Bear,Driving,2,,1,,,,,,1,,,
Terra Nova National Park of Canada,Caribou,Driving,,1,,1,,1,,,1,,,
Terra Nova National Park of Canada,Coyote,Driving,,1,,1,,2,1,1,1,1,,1
Terra Nova National Park of Canada,Gray Jay,Driving,,,,2,,,,,,,,
Terra Nova National Park of Canada,Great Black-backed Gull,Driving,,,,,,,,,,,,1
Terra Nova National Park of Canada,Marten,Driving,,,,2,,2,,,,,,
Terra Nova National Park of Canada,Moose,Driving,11,8,17,8,10,3,10,4,7,6,9,4
Terra Nova National Park of Canada,Newfoundland Marten,Driving,,,,,,,,,1,,,
Terra Nova National Park of Canada,Red Fox,Driving,,,,1,,,,,,,,1
Terra Nova National Park of Canada,Snowshoe Hare,Driving,,,,,,1,,,,,,
Terra Nova National Park of Canada,Spruce Grouse,Driving,,,1,,,,,,,,,
Waterton Lakes National Park of Canada,American Coot,Driving,,,,,,,,,3,,,
Waterton Lakes National Park of Canada,Badger,Driving,,1,,,,,,,,,2,1
Waterton Lakes National Park of Canada,Beaver,Driving,,,,,,,1,,,,,
Waterton Lakes National Park of Canada,Bighorn Sheep,Driving,,,,,,,1,,,,,
Waterton Lakes National Park of Canada,Black Bear,Driving,1,2,1,,1,,,,,1,,
Waterton Lakes National Park of Canada,Blue Grouse,Driving,,,,1,,,,1,,1,,
Waterton Lakes National Park of Canada,Canada Goose,Driving,,,1,,,,,,,,,
Waterton Lakes National Park of Canada,Cedar Waxwing,Driving,,,,,,,,,1,,,
Waterton Lakes National Park of Canada,Columbian Ground Squirrel,Driving,,,,,,,,1,,1,,3
Waterton Lakes National Park of Canada,Common Goldeneye,Driving,,,2,,,,,,,,,
Waterton Lakes National Park of Canada,Coyote,Driving,,,,,,1,,1,,,,
Waterton Lakes National Park of Canada,Crow,Driving,,,,,,,,,,1,,
Waterton Lakes National Park of Canada,Elk,Driving,1,1,,3,3,3,1,,1,,,4
Waterton Lakes National Park of Canada,Gray Jay,Driving,,,,,,,,1,,,,
Waterton Lakes National Park of Canada,Grizzly Bear,Driving,1,1,,,,,,,,,,
Waterton Lakes National Park of Canada,Long-eared Owl,Driving,,,,,,,,1,,,,
Waterton Lakes National Park of Canada,Magpie,Driving,,,,,,,,2,,,,
Waterton Lakes National Park of Canada,Marten,Driving,,,1,,1,,,,,1,,1
Waterton Lakes National Park of Canada,Moose,Driving,,1,1,,,,,,,,,
Waterton Lakes National Park of Canada,Mule Deer,Driving,9,2,2,2,1,1,2,3,2,4,,1
Waterton Lakes National Park of Canada,Muskrat,Driving,,,,,,,1,,,,1,
Waterton Lakes National Park of Canada,Red Fox,Driving,2,,,,1,,1,1,,1,,1
Waterton Lakes National Park of Canada,Red Squirrel,Driving,,,,,,,,,2,,,
Waterton Lakes National Park of Canada,Ruffed Grouse,Driving,,,,1,,,,,,1,,1
Waterton Lakes National Park of Canada,Skunk,Driving,,,,,1,,1,1,,1,,1
Waterton Lakes National Park of Canada,Snowshoe Hare,Driving,,,,,,,,1,,,,
Waterton Lakes National Park of Canada,Unknown bird,Driving,,,,,,,,,2,,,
Waterton Lakes National Park of Canada,Unknown deer,Driving,1,,,,,1,,1,1,1,,
Waterton Lakes National Park of Canada,Unknown Duck,Driving,,,7,,,,,,,,,
Waterton Lakes National Park of Canada,Unknown grouse,Driving,,,,,,,,,1,,,
Waterton Lakes National Park of Canada,Western Toad,Driving,,,,,,,,,,1,,
Waterton Lakes National Park of Canada,White-tailed Deer,Driving,6,3,5,2,6,5,6,5,3,5,4,2
Waterton Lakes National Park of Canada,Wild Turkey,Driving,,,,,,,1,,,,,
Waterton Lakes National Park of Canada,Wolf,Driving,1,,,,,,,,,,,
Waterton Lakes National Park of Canada,Wolverine,Driving,,,,,,,,,,,1,
Wood Buffalo National Park of Canada,Black Bear,Driving,,,,,2,,,1,1,2,1,
Wood Buffalo National Park of Canada,Common Gartersnake,Driving,,,,1,,,,,,2,,1
Wood Buffalo National Park of Canada,Raven,Driving,,,,6,,,,,,,,
Wood Buffalo National Park of Canada,Red Fox,Driving,,,,,,,,,,,,1
Wood Buffalo National Park of Canada,Wood Bison,Driving,4,3,3,3,1,1,4,7,4,2,3,5
Yoho National Park of Canada,Beaver,Driving,,,2,,,,,,,,,
Yoho National Park of Canada,Black Bear,Driving,1,1,5,1,5,1,1,2,3,,3,
Yoho National Park of Canada,Black Bear,Railway,,,3,1,1,,1,2,,,1,1
Yoho National Park of Canada,Cougar,Driving,,,,,1,,,,,,,
Yoho National Park of Canada,Coyote,Driving,3,,,2,4,3,,1,,1,,1
Yoho National Park of Canada,Coyote,Railway,,,,1,,,,,,,,
Yoho National Park of Canada,Domestic Cattle,Driving,,,,,,3,,,,,,
Yoho National Park of Canada,Domestic Dog,Driving,,,,,,,,1,,,,
Yoho National Park of Canada,Elk,Driving,6,3,7,2,2,5,4,2,5,2,3,2
Yoho National Park of Canada,Elk,Railway,,1,,1,,,1,1,,,,1
Yoho National Park of Canada,Golden Eagle,Driving,,,,,1,,,,,,,
Yoho National Park of Canada,Great Blue Heron,Railway,,,,,,1,,,,,,
Yoho National Park of Canada,Great Grey Owl,Driving,,,,,,,,1,,,,
Yoho National Park of Canada,Grizzly Bear,Driving,,,,,1,,,,,,,1
Yoho National Park of Canada,Grizzly Bear,Railway,,1,,,,,,,,,,
Yoho National Park of Canada,Hoary Marmot,Driving,,,,,1,,,,,1,,
Yoho National Park of Canada,Lynx,Driving,,1,,1,,,,1,,,,
Yoho National Park of Canada,Moose,Driving,4,7,7,4,4,2,4,6,6,7,4,2
Yoho National Park of Canada,Moose,Railway,,,,,,,,2,,,,1
Yoho National Park of Canada,Mountain Goat,Driving,,2,3,,1,1,2,1,2,2,2,2
Yoho National Park of Canada,Mule Deer,Driving,3,6,,1,5,2,1,7,5,3,2,
Yoho National Park of Canada,Porcupine,Driving,1,,,,,,,,1,2,,3
Yoho National Park of Canada,Raccoon,Railway,,,,,,,,,,,1,
Yoho National Park of Canada,Raven,Driving,,,,1,,,,,,,,
Yoho National Park of Canada,Red Fox,Driving,,,,,,,,,,1,,
Yoho National Park of Canada,Skunk,Driving,,,,1,,,,,,,,
Yoho National Park of Canada,Snowshoe Hare,Driving,,,,1,,,,1,,,,
Yoho National Park of Canada,Unknown,Driving,,,,1,,,,1,1,,,
Yoho National Park of Canada,Unknown bear,Driving,,,1,,,,,,,,,
Yoho National Park of Canada,Unknown deer,Driving,1,2,,1,,,,,,,1,
Yoho National Park of Canada,White-tailed Deer,Driving,14,3,3,5,4,7,8,2,,1,2,
Yoho National Park of Canada,Wolf,Driving,2,,1,3,1,,1,3,1,,,1
Yoho National Park of Canada,Wolf,Railway,,,,1,,,,,,,,
