"month","year","park","ndvi_monthly_mean","scaled_mean_ndvi","residuals"
4,2019,"REVE",0.0581471384024009,0.5290735692012,-0.647478202543286
5,2019,"REVE",0.0229075613982653,0.511453780699133,-1.01096759345488
6,2019,"REVE",0.210287929873073,0.605143964936536,0.40298361564177
7,2019,"REVE",0.169977728202496,0.584988864101248,0.00212547621239431
8,2019,"REVE",0.0929321562229551,0.546466078111478,-0.611536103217502
9,2019,"REVE",0.107240798346679,0.553620399173339,-0.40575930701311
10,2019,"REVE",0.0709725959854679,0.535486297992734,-0.644644770690987
11,2019,"REVE",0.079726184092309,0.539863092046154,-0.621487567456873
12,2019,"REVE",0.151635166812642,0.575817583406321,-0.134332105107001
1,2020,"REVE",0.0603703069214174,0.530185153460709,-0.914332125690735
2,2020,"REVE",0.352421388543387,0.676210694271693,1.68568664246666
3,2020,"REVE",0.0267242697846373,0.513362134892319,-0.897491206334838
4,2020,"REVE",0.021984521112472,0.510992260556236,-0.930420021051372
5,2020,"REVE",-0.00126441747952348,0.499367791260238,-1.20634970958884
6,2020,"REVE",0.207389026324467,0.603694513162234,0.366617173740883
7,2020,"REVE",0.0829469386097113,0.541473469304856,-0.727589822866619
8,2020,"REVE",0.0484363667385597,0.52421818336928,-0.983788946227737
9,2020,"REVE",0.0757938070381924,0.537896903519096,-0.65769165908373
10,2020,"REVE",0.0367311302334734,0.518365565116737,-0.907644256850857
11,2020,"REVE",0.082569186185403,0.541284593092701,-0.589530962350742
12,2020,"REVE",0.319709113964612,0.659854556982306,1.26727715607765
1,2021,"REVE",0.0819650789442525,0.540982539472126,-0.785337686371401
2,2021,"REVE",0.222494434739936,0.611247217369968,0.543616942168683
3,2021,"REVE",0.0193792861209962,0.509689643060498,-0.982575079566737
4,2021,"REVE",0.0379647035888091,0.518982351794405,-0.829680370579131
5,2021,"REVE",0.0280694847158684,0.514034742357934,-1.00717751637903
6,2021,"REVE",0.474335341922453,0.737167670961226,2.66796702798415
7,2021,"REVE",0.233986758164951,0.616993379082476,0.451158564545654
8,2021,"REVE",0.0631688709745195,0.53158443548726,-0.914799119716109
9,2021,"REVE",0.0958582806758521,0.547929140337926,-0.529713728710043
10,2021,"REVE",0.0177376069554074,0.508868803477704,-1.0836985845917
11,2021,"REVE",0.0940215723540906,0.547010786177045,-0.524032418243998
12,2021,"REVE",0.181414561666912,0.590707280833456,0.0670665257932056
1,2010,"THIS",0.182952117085499,0.59147605854275,0.0338063273600792
2,2010,"THIS",0.314015416637809,0.657007708318905,1.16778019722366
3,2010,"THIS",-0.0131355504782396,0.49343222476088,-1.47599243118682
4,2010,"THIS",-0.00971760739301019,0.495141196303495,-1.4168304118386
5,2010,"THIS",-0.0243792925937295,0.487810353703135,-1.52185938942509
6,2010,"THIS",0.382705316786965,0.691352658393482,1.85235608483138
7,2010,"THIS",0.238213184698062,0.619106592349031,0.58664960379608
8,2010,"THIS",0.0648574953989134,0.532428747699457,-0.865882387875394
