"month","year","park","ndvi_monthly_mean","scaled_mean_ndvi"
7,2011,"FUND",0.238963324292549,0.619481662146275
8,2011,"FUND",0.0889366987595725,0.544468349379786
9,2011,"FUND",0.122397061649007,0.561198530824504
10,2011,"FUND",0.164538982425701,0.582269491212851
11,2011,"FUND",0.162439790799147,0.581219895399574
12,2011,"FUND",0.352729249234234,0.676364624617117
1,2012,"FUND",0.167768774033761,0.583884387016881
2,2012,"FUND",0.352214725289006,0.676107362644503
3,2012,"FUND",0.111982352545124,0.555991176272562
4,2012,"FUND",0.0831143723755687,0.541557186187784
5,2012,"FUND",0.0910944355463996,0.5455472177732
6,2012,"FUND",0.412735966807567,0.706367983403783
7,2012,"FUND",0.280102655028055,0.640051327514027
8,2012,"FUND",0.140192504651842,0.570096252325921
9,2012,"FUND",0.26498618827976,0.63249309413988
10,2012,"FUND",0.194901784933074,0.597450892466537
11,2012,"FUND",0.226654219925242,0.613327109962621
12,2012,"FUND",0.336723067615628,0.668361533807814
1,2013,"FUND",0.209398618103739,0.60469930905187
2,2013,"FUND",0.436168167781761,0.718084083890881
3,2013,"FUND",0.0424785399683755,0.521239269984188
4,2013,"FUND",0.0758045729518256,0.537902286475913
5,2013,"FUND",0.121948481590906,0.560974240795453
6,2013,"FUND",0.307412395719823,0.653706197859911
7,2013,"FUND",0.278650527010125,0.639325263505062
8,2013,"FUND",0.0888010458102809,0.54440052290514
9,2013,"FUND",0.247457492552514,0.623728746276257
10,2013,"FUND",0.133415015230927,0.566707507615464
11,2013,"FUND",0.274671419738536,0.637335709869268
12,2013,"FUND",0.271134395787017,0.635567197893508
1,2014,"FUND",0.133300606047391,0.566650303023695
2,2014,"FUND",0.455475336098136,0.727737668049068
3,2014,"FUND",0.20538734127415,0.602693670637075
4,2014,"FUND",0.20081290569786,0.60040645284893
5,2014,"FUND",0.156821725352022,0.578410862676011
6,2014,"FUND",0.484229419212496,0.742114709606248
7,2014,"FUND",0.424796813465024,0.712398406732512
8,2014,"FUND",0.219018010886957,0.609509005443479
9,2014,"FUND",0.260765126099468,0.630382563049734
10,2014,"FUND",0.167551849533767,0.583775924766883
11,2014,"FUND",0.257670741811849,0.628835370905924
12,2014,"FUND",0.472714969043491,0.736357484521746
1,2015,"FUND",0.177908232514741,0.58895411625737
2,2015,"FUND",0.560005384281774,0.780002692140887
3,2015,"FUND",0.211111397802695,0.605555698901348
4,2015,"FUND",0.177597483645929,0.588798741822965
5,2015,"FUND",0.232888905459307,0.616444452729654
6,2015,"FUND",0.41204994952126,0.70602497476063
7,2015,"FUND",0.322101616107799,0.661050808053899
8,2015,"FUND",0.170022776202429,0.585011388101214
9,2015,"FUND",0.359038711669987,0.679519355834993
10,2015,"FUND",0.181471085829599,0.590735542914799
11,2015,"FUND",0.392956363779581,0.69647818188979
12,2015,"FUND",0.521904469673131,0.760952234836565
1,2016,"FUND",0.340687272337904,0.670343636168952
2,2016,"FUND",0.382067188730677,0.691033594365339
3,2016,"FUND",0.207121565765264,0.603560782882632
4,2016,"FUND",0.198950679289919,0.599475339644959
5,2016,"FUND",0.264210361827432,0.632105180913716
6,2016,"FUND",0.456061742241775,0.728030871120887
7,2016,"FUND",0.400411262394715,0.700205631197357
8,2016,"FUND",0.201642619612136,0.600821309806068
9,2016,"FUND",0.22857540394398,0.61428770197199
10,2016,"FUND",0.211117499594882,0.605558749797441
11,2016,"FUND",0.341709343201733,0.670854671600867
12,2016,"FUND",0.461092450350208,0.730546225175104
1,2017,"FUND",0.165393005015796,0.582696502507898
2,2017,"FUND",0.495652028632245,0.747826014316123
3,2017,"FUND",0.21550491204199,0.607752456020995
4,2017,"FUND",0.207804274775346,0.603902137387673
5,2017,"FUND",0.214645112323585,0.607322556161793
6,2017,"FUND",0.454666136791054,0.727333068395527
7,2017,"FUND",0.410483535503322,0.705241767751661
8,2017,"FUND",0.232932966942828,0.616466483471414
9,2017,"FUND",0.278297347820607,0.639148673910303
10,2017,"FUND",0.309811641866459,0.654905820933229
11,2017,"FUND",0.431856444371393,0.715928222185697
12,2017,"FUND",0.447406556891442,0.723703278445721
1,2018,"FUND",0.207761641306297,0.603880820653149
2,2018,"FUND",0.485458225271573,0.742729112635786
3,2018,"FUND",0.279668988306245,0.639834494153122
4,2018,"FUND",0.138394778420997,0.569197389210498
5,2018,"FUND",0.214448333120372,0.607224166560186
6,2018,"FUND",0.572114797958551,0.786057398979276
7,2018,"FUND",0.408487904446835,0.704243952223418
8,2018,"FUND",0.135370747624719,0.56768537381236
9,2018,"FUND",0.400514671612052,0.700257335806026
10,2018,"FUND",0.21668383847357,0.608341919236785
11,2018,"FUND",0.24936318139834,0.62468159069917
12,2018,"FUND",0.476383231848683,0.738191615924341
1,2019,"FUND",0.142328990154643,0.571164495077321
2,2019,"FUND",0.513504924071768,0.756752462035884
3,2019,"FUND",0.218947580550141,0.609473790275071
4,2019,"FUND",0.282272889455712,0.641136444727856
5,2019,"FUND",0.200052683312764,0.600026341656382
6,2019,"FUND",0.506150379031897,0.753075189515948
7,2019,"FUND",0.407493434033213,0.703746717016607
8,2019,"FUND",0.253944037018828,0.626972018509414
9,2019,"FUND",0.19174194451681,0.595870972258405
10,2019,"FUND",0.1888623986871,0.59443119934355
11,2019,"FUND",0.343707802946785,0.671853901473393
12,2019,"FUND",0.447267954772377,0.723633977386189
1,2020,"FUND",0.265750833373647,0.632875416686824
2,2020,"FUND",0.506948824644539,0.75347441232227
3,2020,"FUND",0.156739980489333,0.578369990244667
4,2020,"FUND",0.178565621663925,0.589282810831963
5,2020,"FUND",0.15536182810682,0.57768091405341
6,2020,"FUND",0.407057575534514,0.703528787767257
7,2020,"FUND",0.461427172430633,0.730713586215316
8,2020,"FUND",0.176372922785897,0.588186461392949
9,2020,"FUND",0.303524318406625,0.651762159203312
10,2020,"FUND",0.227541565803806,0.613770782901903
11,2020,"FUND",0.293086566064069,0.646543283032035
12,2020,"FUND",0.465453964726319,0.732726982363159
1,2021,"FUND",0.268719418625062,0.634359709312531
2,2021,"FUND",0.494101009872277,0.747050504936138
3,2021,"FUND",0.285451808534884,0.642725904267442
4,2021,"FUND",0.174160092210443,0.587080046105221
5,2021,"FUND",0.175876832804802,0.587938416402401
6,2021,"FUND",0.303652979632646,0.651826489816323
7,2021,"FUND",0.392881767228516,0.696440883614258
8,2021,"FUND",0.24887614880149,0.624438074400745
9,2021,"FUND",0.274074065812785,0.637037032906392
10,2021,"FUND",0.289203105566057,0.644601552783028
11,2021,"FUND",0.285428408930268,0.642714204465134
12,2021,"FUND",0.388119292471906,0.694059646235953
1,2010,"GBIS",0.245566057156207,0.622783028578104
2,2010,"GBIS",0.279475308699237,0.639737654349618
3,2010,"GBIS",-0.0148303915825436,0.492584804208728
4,2010,"GBIS",0.0126493452809434,0.506324672640472
5,2010,"GBIS",-0.00183344711426575,0.499083276442867
6,2010,"GBIS",0.39347470733958,0.69673735366979
7,2010,"GBIS",0.289818652017012,0.644909326008506
8,2010,"GBIS",0.122328048733742,0.561164024366871
9,2010,"GBIS",0.344019456497174,0.672009728248587
10,2010,"GBIS",0.103547992641925,0.551773996320962
11,2010,"GBIS",0.221356682178768,0.610678341089384
12,2010,"GBIS",0.154986685034159,0.57749334251708
1,2011,"GBIS",0.156849019125623,0.578424509562812
2,2011,"GBIS",0.335507928636919,0.667753964318459
3,2011,"GBIS",0.0255221771234551,0.512761088561728
4,2011,"GBIS",0.0159860302898667,0.507993015144933
5,2011,"GBIS",-0.00538005370148797,0.497309973149256
6,2011,"GBIS",0.451395162174216,0.725697581087108
7,2011,"GBIS",0.34038083093508,0.67019041546754
8,2011,"GBIS",0.0365135690745529,0.518256784537276
9,2011,"GBIS",0.169750887263867,0.584875443631933
10,2011,"GBIS",0.112509817415714,0.556254908707857
11,2011,"GBIS",0.182125263723444,0.591062631861722
